AP,ProbDensity
0.060228842315369194,0.7411661062717788
0.07745299401197597,0.9882214750290393
0.09467714570858277,1.2352768437862982
0.11190129740518956,1.2352768437862982
0.12912544910179635,1.7293875813008173
0.14634960079840315,1.7293875813008202
0.1635737524950099,2.717609056329856
0.1807979041916167,1.976442950058077
0.1980220558882235,3.952885900116154
0.2152462075848303,4.199941268873413
0.23247035928143708,4.941107375145193
0.24969451097804388,3.952885900116154
0.2669186626746507,1.976442950058077
0.28414281437125744,0.9882214750290385
0.3013669660678643,0.7411661062717788
0.318591117764471,0.0
0.33581526946107787,0.9882214750290385
0.3530394211576846,0.4941107375145192
0.37026357285429146,0.2470553687572596
0.3874877245508982,0.4941107375145192
0.40471187624750504,0.9882214750290385
0.4219360279441118,0.4941107375145192
0.43916017964071863,0.2470553687572596
0.45638433133732537,0.0
0.4736084830339321,0.2470553687572596
0.49083263473053895,0.2470553687572596
0.5080567864271457,0.49411073751452084
0.5252809381237524,0.0
0.5425050898203593,0.49411073751452084
0.5597292415169661,0.24705536875725884
0.5769533932135729,0.24705536875725884
0.5941775449101797,0.9882214750290417
0.6114016966067864,0.49411073751452084
0.6286258483033933,0.24705536875725884
0.64585,0.7411661062717813
0.6630741516966068,0.7411661062717765
0.6802983033932136,0.49411073751452084
0.6975224550898205,0.7411661062717765
0.7147466067864272,1.7293875813008228
0.731970758483034,1.235276843786294
0.7491949101796408,1.7293875813008228
0.7664190618762476,1.482332212543553
0.7836432135728544,0.49411073751452084
0.8008673652694611,1.9764429500580707
0.818091516966068,1.4823322125435625
0.8353156686626748,0.9882214750290353
0.8525398203592816,1.4823322125435625
0.8697639720558883,0.7411661062717813
0.886988123752495,0.7411661062717765
0.9042122754491019,0.49411073751452084
