AP,fitDensity,Comp1Density,Comp2Density
0.926,0.006759685002553503,0.005975854183465122,0.0007838308190883815
0.9322104208416834,0.013049599304735456,0.01224537627521617,0.0008042230295192854
0.9384208416833668,0.024652941065507247,0.023827848014585096,0.000825093050922152
0.9446312625250501,0.04490104088335696,0.044054590301774776,0.0008464505815821823
0.9508416833667335,0.07831199430306153,0.07744368882656201,0.0008683054764995257
0.9570521042084169,0.1304336818566353,0.12954301410774027,0.0008906677488950062
0.9632625250501002,0.20729888020447426,0.2063853326327707,0.0009135475717035632
0.9694729458917836,0.3144492334091348,0.31351227813008026,0.0009369552790545429
0.975683366733467,0.4556329051582018,0.4546720037904639,0.0009609013677379146
0.9818937875751503,0.6314550084045242,0.6304696119058687,0.0009853964986554762
0.9881042084168337,0.8383843453609993,0.8373738938627432,0.0010104514982561244
0.9943146292585171,1.0685147062182618,1.0674786288583076,0.0010360773599541893
1.0005250501002005,1.3103068888826657,1.309244603637136,0.0010622852455298662
1.0067354709418839,1.55023904319527,1.5491499567087592,0.0010890864865107817
1.0129458917835672,1.7749808247063164,1.7738643321207828,0.0011164925855336031
1.0191563126252505,1.9735165088989355,1.9723719936812507,0.0011445152176847429
1.0253667334669339,2.1386610399344215,2.1374878737026024,0.0011731662318190449
1.0315771543086174,2.2676321996698716,2.2664297420180164,0.0012024576518554074
1.0377875751503007,2.3616616772930934,2.360429275615045,0.0012324016780482908
1.043997995991984,2.4249113505626836,2.4236483398744495,0.0012630106882339542
1.0502084168336674,2.4631054810834114,2.461811183844361,0.0012942972390503785
1.0564188376753507,2.4822685181177486,2.480942244050619,0.0013262740671296678
1.062629258517034,2.487819277200693,2.4864603231104314,0.0013589540902618443
1.0688396793587174,2.484097782897209,2.48270543248868,0.0013923504085288526
1.075050100200401,2.474262669800544,2.4728361934951364,0.001426476305407612
1.0812605210420843,2.46042855886542,2.458967213616579,0.0014613452488408854
1.0874709418837676,2.443909588266364,2.442412617374089,0.001496970892274814
1.093681362725451,2.4254708444166844,2.4239374773410227,0.00153336707566186
1.0998917835671342,2.4055351509279945,2.4039646031015667,0.001570547826427929
1.1061022044088178,2.3843296888501753,2.3827211614897728,0.0016085273604024598
1.1123126252505011,2.3619786166498615,2.3603312965671512,0.0016473200827101335
1.1185230460921844,2.338556093883648,2.336869153295025,0.001686940588623043
1.1247334669338678,2.3141140635843818,2.31238665992001,0.0017274036643719285
1.130943887775551,2.288695649782164,2.286926925494249,0.0017687242879152404
1.1371543086172347,2.262341112990504,2.2605301953608397,0.0018109176296647234
1.143364729458918,2.2350902771506322,2.233236278097466,0.0018539990531661113
1.1495751503006013,2.2069834133762027,2.205085429260469,0.0018979841157337437
1.1557855711422846,2.1780614981529793,2.1761186095839418,0.001942888569037589
1.161995991983968,2.1483662355766926,2.1463775072170512,0.0019887283596414468
1.1682064128256513,2.1179399964551537,2.115904476825663,0.002035519629490916
1.1744168336673346,2.0868257299800073,2.0847424512636574,0.0020832787163497235
1.1806272545090182,2.0550668669898737,2.0529348448356908,0.002132022154183057
1.1868376753507015,2.022707221028963,2.0205254543554765,0.0021817666734865217
1.1930480961923848,1.989790889245864,1.9875583600443048,0.002232529201559263
1.1992585170340682,1.9563621539176157,1.9540778270548957,0.0022843268627199165
1.2054689378757515,1.9224653850238889,1.920128208045425,0.0023371769784639026
1.211679358717435,1.8881449441946394,1.8857538471270787,0.0023910970675606394
1.2178897795591184,1.8534450903218043,1.850998985475715,0.0024461048460893246
1.2241002004008017,1.8184098871092762,1.8159076688818645,0.0025022182274117627
1.230310621242485,1.7830831128222848,1.780523657500204,0.0025594553220808325
1.2365210420841684,1.7475081724840786,1.7448903380463956,0.0026178344376831266
1.242731462925852,1.7117280127540548,1.7090506386754405,0.0026773740786143647
1.2489418837675352,1.675785039706963,1.6730469467611768,0.0027380929457860707
1.2551523046092186,1.6397210397176492,1.636921029781387,0.0028000099362621013
1.261362725450902,1.603577103640146,1.6007139594973225,0.002863144142823558
1.2675731462925852,1.5673935544536617,1.564466039600201,0.0029275148534606025
1.2737835671342685,1.53120987853147,1.5282167369806803,0.0029931415507897688
1.2799939879759519,1.4950646606718176,1.4920046167604224,0.003060043911395265
1.2862044088176354,1.458995523012825,1.4558672812077322,0.0031282418050928816
1.2924148296593188,1.42303906793616,1.419841312642045,0.0031977552941149442
1.298625250501002,1.3872308250469207,1.3839622204147057,0.003268604632215009
1.3048356713426854,1.3516052022999938,1.348264392036303,0.003340810263690712
1.3110460921843687,1.3161954413259376,1.3127810485036142,0.0034143928223234203
1.3172565130260523,1.2810335769925802,1.277544203862347,0.0034893731302332856
1.3234669338677356,1.2461504012218363,1.2425846290251883,0.0035657721966481093
1.329677354709419,1.2115754310649163,1.2079318198483315,0.003643611216584838
1.3358877755511023,1.1773368810232625,1.1736139694538203,0.0037229115694420536
1.3420981963927856,1.1434616395870796,1.1396579447695774,0.0038036948175021847
1.3483086172344692,1.1099752499484787,1.1060892672441367,0.0038859827043420773
1.3545190380761525,1.0769018948319848,1.0729320976788346,0.003969797153150353
1.3607294589178358,1.044264385371495,1.0402092251065445,0.00405516026495048
1.3669398797595191,1.0120841539498984,1.0079420596331705,0.004142094316727901
1.3731503006012025,0.9803812509053094,0.9761506291458493,0.004230621759460081
1.3793607214428858,0.9491743449964867,0.9448535797804386,0.004320765216048121
1.3855711422845691,0.9184807275093624,0.914068180030214,0.0044125474791484815
1.3917815631262527,0.8883163198768238,0.8838103283679201,0.004505991508903737
1.397991983967936,0.8586956846749484,0.8540945642443775,0.004601120430570911
