AP,ProbDensity
0.0558125,0.214674044297989
0.0736875,0.7728265594727605
0.0915625,0.7298917506131627
0.10943750000000001,0.9875006037707496
0.1273125,0.6010873240343693
0.14518750000000002,0.7298917506131627
0.1630625,1.073370221489945
0.18093750000000003,1.3739138835071298
0.1988125,1.073370221489945
0.21668750000000003,1.6315227366647165
0.2345625,1.975001207541499
0.25243750000000004,2.1896752518394877
0.2703125,3.1771758556102423
0.28818750000000004,3.434784708767819
0.3060625,3.3059802821890254
0.32393750000000004,3.1342410467506445
0.3418125,2.4902189138566766
0.35968750000000005,2.103805634120289
0.3775625,1.5456531189455185
0.39543750000000005,1.288044265787936
0.4133125,0.9016309860515552
0.43118750000000006,0.644022132893966
0.44906250000000003,0.9445657949111501
0.46693750000000006,0.5152177063151744
0.48481250000000004,0.7728265594727617
0.5026875,0.7728265594727617
0.5205625,0.429348088595976
0.5384375000000001,0.5152177063151744
0.5563125,0.644022132893968
0.5741875000000001,0.687337022148994
0.5920625000000002,0.6586961771919575
0.6099375,0.6010873240343703
0.6278125000000001,0.6869569417535659
0.6456875,0.47228289745557656
0.6635625,0.6869569417535617
0.6814375000000001,0.5152177063151744
0.6993125,0.7298917506131638
0.7171875000000001,0.6010873240343665
0.7350625000000002,0.644022132893968
0.7529375,0.5581525151747723
0.7708125000000001,0.6869569417535659
0.7886875,0.9016309860515552
0.8065625000000001,0.9445657949111472
0.8244375000000002,1.3309790746475338
0.8423125,1.4168486923667298
0.8601875000000001,1.288044265787928
0.8780625000000002,0.8586961771919575
0.8959375,0.644022132893968
0.9138125000000001,0.38641327973638084
0.9316875,0.08586961771919574
