AP,fitDensity,Comp1Density,Comp2Density
0.046875,0.14584952954674876,0.1456097673145305,0.00023976223221824195
0.048666082164328654,0.15267201204819209,0.1524234204811358,0.00024859156705629563
0.050457164328657315,0.15975164266845668,0.15949391643272356,0.00025772623573312237
0.05224824649298597,0.1670947843763304,0.16682760834831536,0.0002671760280150458
0.05403932865731463,0.17470778905528303,0.17443083803626397,0.00027695101901907375
0.055830410821643285,0.18259698765366025,0.18230992607713875,0.00028706157652150607
0.057621492985971946,0.19076867996299085,0.19047116159457111,0.0002975183684197282
0.0594125751503006,0.1992291240323621,0.19892079166201285,0.0003083323703492569
0.06120365731462926,0.20798452522812533,0.20766501035466717,0.0003195148734581661
0.06299473947895792,0.21704102494949734,0.2167099474571564,0.00033107749234093716
0.06478582164328657,0.22640468901196742,0.22606165683883359,0.00034303217313383453
0.06657690380761523,0.23608149571176867,0.23572610450999482,0.00035539120177385396
0.06836798597194389,0.2460773235860341,0.24570915637361082,0.0003681672124232698
0.07015906813627254,0.2563979388846254,0.25601656568856357,0.0003813731960618407
0.0719501503006012,0.2670489827709957,0.26665396026174704,0.00039502250924864534
0.07374123246492986,0.2780359582708126,0.27762682938775707,0.00040912888305554874
0.07553231462925852,0.2893642169884272,0.2889405105562529,0.000423706432174279
0.07732339679358718,0.3010389456126272,0.30060017594842814,0.0004387696641990117
0.07911447895791583,0.31306515223443576,0.31261081874534935,0.0004543334890864251
0.0809055611222445,0.3254476525010281,0.32497723927223304,0.0004704132287950588
0.08269664328657314,0.3381910556311162,0.3377040310040103,0.00048702462710586525
0.0844877254509018,0.35129975031839344,0.3507955664587677,0.0005041838596257545
0.08627880761523046,0.3647778905508402,0.3642559830068643,0.0005219075439759125
0.08806988977955912,0.37862938137484786,0.3780891686246812,0.0005402127501666519
0.08986097194388779,0.392857864634232,0.39229874762307154,0.0005591170111604786
0.09165205410821645,0.40746670471525864,0.4068880663816336,0.0005786383336250553
0.0934431362725451,0.422458974329797,0.42186017912091933,0.000598795208877658
0.09523421843687375,0.43783744036964495,0.43721783374562223,0.0006196066240227082
0.0970253006012024,0.4536045498659238,0.4529634577926399,0.0006410920732838845
0.09881638276553106,0.4697624160882146,0.46909914451868234,0.0006632715695322826
0.10060746492985972,0.4863128048188082,0.48562663916279614,0.000686165656012026
0.10239854709418839,0.5032571208380461,0.5025473254197814,0.0007097954182646777
0.10418962925851705,0.520596394657247,0.5198622121609934,0.0007341824962537295
0.1059807114228457,0.5383312695361328,0.5375719204394424,0.0007593490966903964
0.10777179358717436,0.5564619888219908,0.5556766708164289,0.0007853180055618642
0.10956287575150302,0.5749883836480236,0.5741762710471605,0.0008121126008630653
0.11135395791583166,0.5939098610284437,0.5930701041629107,0.000839756865532998
0.11314504008016033,0.6132253923878774,0.6123571169872809,0.0008682754005965058
0.11493612224448899,0.6329335025625039,0.6320358091239915,0.0008976934385123768
0.11672720440881765,0.6530322593101529,0.6521042224534244,0.0009280368567285075
0.1185182865731463,0.6735192633662029,0.6725599311747581,0.0009593321914448354
0.12030936873747496,0.6943916390816673,0.6934000324300827,0.0009916066515845974
0.12210045090180362,0.7156460256792515,0.7146211375462771,0.0010248881329744212
0.12389153306613228,0.7372785691624523,0.7362193639297187,0.0010592052327336337
0.12568261523046093,0.759284914911924,0.7581903276480508,0.001094587263873094
0.1274736973947896,0.7816602010023759,0.7805291367322722,0.001131064270103722
0.12926477955911825,0.8043990522721708,0.803230385231316,0.0011686670408547985
0.1310558617234469,0.8274955751765934,0.8262881480500914,0.0012074271265020411
0.13284694388777557,0.8509433534544204,0.8496959766006151,0.0012473768538052354
0.13463802605210423,0.8747354446359733,0.873446895294418,0.0012885493415552565
0.1364291082164329,0.8988643774192755,0.8975333989028456,0.0013309785164299546
0.13822019038076153,0.9233221499392498,0.9219474508101912,0.0013746991290585395
0.1400112725450902,0.9481002289531124,0.9466804821828187,0.0014197467702936693
0.14180235470941885,0.9731895499632057,0.9717233920755152,0.0014661578876905606
0.1435934368737475,0.9985805182965405,0.9970665484943484,0.0015139698021921495
0.14538451903807614,1.0242630111582043,1.0226997904331852,0.0015632207250192392
0.1471756012024048,1.0502263806736185,1.048612430898854,0.0016139497747644379
0.14896668336673347,1.0764594579323459,1.0747932609376574,0.0016661969946884978
0.15075776553106213,1.1029505580438161,1.1012305546735985,0.0017200033702175629
0.1525488476953908,1.1296874862128974,1.1279120753662577,0.001775410846639604
0.15433992985971945,1.1566575448407608,1.1548250824937625,0.0018324623469982608
0.1561310120240481,1.1838475416539338,1.1819563398637518,0.0018912017901820128
0.15792209418837677,1.211243798861853,1.2092921247526465,0.0019516741092065499
0.15971317635270543,1.2388321633405606,1.2368182380708725,0.0020139252696879393
0.1615042585170341,1.2665980178375404,1.2645200155490364,0.0020780022885041097
0.16329534068136276,1.2945262931899741,1.2923823399373322,0.0021439532526418567
0.1650864228456914,1.322601481545977,1.3203896542077505,0.00221182733822654
0.16687750501002005,1.350807650575663,1.3485259757459318,0.0022816748297312867
0.1686685871743487,1.3791284586561483,1.3767749115167858,0.002353547139362477
0.17045966933867737,1.4075471710118894,1.4051196741852714,0.0024274968266179637
0.17225075150300603,1.436046676789074,1.4335430991710598,0.00250357761801433
0.1740418336673347,1.4646095070400955,1.4620276626131163,0.00258184442697928
0.17583291583166333,1.4932178535915244,1.4905555002176194,0.002662353373905038
0.177623997995992,1.5218535887664226,1.5191084269600643,0.0027451618063583775
0.17941508016032065,1.5504982859292975,1.5476679576098546,0.0028303283194427886
